,stop_index,stop_name
0,0,South Ferry
1,1,Rector St
2,2,WTC Cortlandt
3,3,Chambers St
4,4,Franklin St
5,5,Canal St
6,6,Houston St
7,7,Christopher St - Sheridan Sq
8,8,14 St
9,9,18 St
10,10,23 St
11,11,28 St
12,12,34 St - Penn Station
13,13,Times Sq - 42 St
14,14,50 St
15,15,59 St - Columbus Circle
16,16,66 St - Lincoln Center
17,17,72 St
18,18,79 St
19,19,86 St
20,20,96 St
21,21,103 St
22,22,Cathedral Pkwy
23,23,116 St - Columbia University
24,24,125 St
25,25,137 St - City College
26,26,145 St
27,27,157 St
28,28,168 St - Washington Hts
29,29,181 St
30,30,191 St
31,31,Dyckman St
32,32,207 St
33,33,215 St
34,34,Marble Hill - 225 St
35,35,231 St
36,36,238 St
37,37,Van Cortlandt Park - 242 St
